產品編號,區域編號,訂購日期,銷售數量,單價,銷售金額,銷售成本
469,135,2019/1/1,180,$220,"$39,600","$33,660 "
470,135,2019/1/1,9,$228,"$2,052","$1,744 "
364,135,2019/1/1,3,"$6,480","$19,440","$16,524 "
365,135,2019/1/1,2,"$6,480","$12,960","$11,016 "
469,112,2019/1/2,90,$228,"$20,520","$17,442 "
470,112,2019/1/2,4,$228,$912,$775 
469,279,2019/1/2,45,$228,"$10,260","$8,721 "
365,112,2019/1/2,3,"$6,480","$19,440","$16,524 "
364,112,2019/1/2,2,"$6,480","$12,960","$11,016 "
469,267,2019/1/4,180,$220,"$39,600","$33,660 "
470,267,2019/1/4,5,$228,"$1,140",$969 
364,267,2019/1/4,4,"$6,480","$25,920","$22,032 "
365,267,2019/1/4,2,"$6,480","$12,960","$11,016 "
470,123,2019/1/5,2,$228,$456,$388 
469,260,2019/1/7,30,$228,"$6,840","$5,814 "
469,288,2019/1/8,60,$228,"$13,680","$11,628 "
470,288,2019/1/8,8,$228,"$1,824","$1,550 "
468,288,2019/1/8,30,$228,"$6,840","$5,814 "
447,7,2019/1/8,250,$150,"$37,500","$31,875 "
469,11,2019/1/8,90,$228,"$20,520","$17,442 "
448,9,2019/1/8,150,$120,"$18,000","$15,300 "
468,8,2019/1/8,15,$228,"$3,420","$2,907 "
469,9,2019/1/8,15,$228,"$3,420","$2,907 "
470,11,2019/1/8,9,$228,"$2,052","$1,744 "
470,7,2019/1/8,4,$228,$912,$775 
470,8,2019/1/8,4,$228,$912,$775 
365,11,2019/1/8,2,"$6,480","$12,960","$11,016 "
364,11,2019/1/8,1,"$6,480","$6,480","$5,508 "
447,10,2019/1/9,250,$150,"$37,500","$31,875 "
448,10,2019/1/9,200,$120,"$24,000","$20,400 "
470,11,2019/1/11,9,$228,"$2,052","$1,744 "
365,10,2019/1/11,3,"$6,480","$19,440","$16,524 "
364,12,2019/1/11,1,"$6,480","$6,480","$5,508 "
470,283,2019/1/12,10,$228,"$2,280","$1,938 "
469,283,2019/1/12,210,$220,"$46,200","$39,270 "
469,290,2019/1/12,15,$228,"$3,420","$2,907 "
470,290,2019/1/12,4,$228,$912,$775 
448,290,2019/1/12,250,$120,"$30,000","$25,500 "
447,290,2019/1/12,250,$150,"$37,500","$31,875 "
364,283,2019/1/12,5,"$6,480","$32,400","$27,540 "
365,283,2019/1/12,2,"$6,480","$12,960","$11,016 "
364,290,2019/1/12,2,"$6,480","$12,960","$11,016 "
